F56	F91	F101	F98	F26	F54	F11	F40	F17	F52	F34	F82	F74	F22	F53	F75	F36	F92	F63	F64	F59	F69	O1	F89	F67	F104	F31	F68	F16	F76	F15	F47	F14	F42	F21	F50	F32	F87	F25	F58	F39	F61	F12	F60	F100	F23	F70	F37	F84	F20	F95	F90	F30	F79	F94	F71	F102	F44	F103	F18	F45	F33	F88	F19	F51	F65	F93	F29	F81	F49	F38	F83	F27	F55	F43	F97	F96	F28	F62	F99	F35	F78	F85	F86	F57	F13	F41	F48	F24	F80	F66	F72	F73	F77
VanA-D 3_AY082011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0635	0	0.0148	0	0	0	0	0	0
VanA-D 4_AY489045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0317	0	0	0	0	0	0	0	0
VanA-G 1_AY271782	0.0469	0.0402	0.1791	0.0522	0.2376	0.1719	0.1403	0.1204	0.2568	0.1774	0.4469	0.0724	0.1437	0.0556	0.1533	0.0673	0	0.1414	0.135	0.1534	0.082	0.148	0.1181	0.1282	0.1176	0.0642	0.1242	0.1518	0.1253	0.3292	0.1319	0.1299	0.2106	0.1824	0.3079	0.1918	0.1639	0.1076	0.4814	0.0537	0.2447	0.1041	0.2584	0.1148	0.1289	0.1875	0.1166	0.106	0	0.0376	0.1051	0.0803	0.1647	0.0582	0.0325	0.1445	0.1449	0.0739	0.0393	0.227	0.0653	0.1196	0.3068	0.0684	0.0383	0.3776	0.2062	0.2207	0.0591	0.1733	0	0.0959	0.303	0.274	0.1249	0.2119	0.2185	0.2977	0.0832	0.1494	0.1608	0.0943	0.1882	0.1867	0.2005	0.1553	0.1388	0.029	0.1785	0.2724	0.1575	0.0378	0.1011	0.1171
VanH-B 1_AF192329	0.0258	0.0885	0.0789	0.0575	0.0654	0	0.0386	0.0166	0.1885	0.0558	0	0.1595	0.0432	0.1838	0.0938	0.0247	0	0	0.0186	0.0188	0.0361	0.0652	0.065	0.1411	0	0.0353	0	0	0.046	0.064	0.0363	0.0179	0.0773	0	0.113	0.1267	0	0.0395	0.0408	0.0591	0.0385	0	0.0474	0.0316	0.0284	0.1032	0	0	0.0628	0	0	0.0442	0.0604	0	0.0716	0.0289	0.0798	0	0	0.0417	0.1438	0.1646	0.0338	0.1506	0.0843	0.0231	0	0	0.065	0.0337	0	0	0.1251	0	0.1375	0.0933	0.0555	0.0546	0.0916	0.0548	0.0442	0.0472	0.0829	0	0.0123	0.1368	0.0255	0.0799	0.0491	0	0.0347	0.0416	0.0696	0.0368
VanH-D 1_AB242319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0
VanH-D 3_AY082011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0342	0	0	0	0	0	0	0	0
VanR-B 1_AF192329	0	0	0	0.1438	0.1636	0	0.1288	0	0.0786	0.0931	0	0.1329	0.048	0	0.0313	0	0	0	0	0.0626	0.0301	0.163	0.0542	0	0.036	0	0.057	0	0	0.0356	0.0605	0.0298	0	0	0	0.1408	0	0.0658	0.068	0	0.1925	0	0	0.0527	0	0	0.0306	0	0.1047	0.069	0.0643	0	0	0.1069	0	0.0241	0	0	0	0	0	0	0.0563	0	0	0.0385	0.1082	0	0	0.0187	0	0	0.1391	0.2515	0.0983	0.3113	0.0309	0	0	0.0914	0.2213	0	0	0	0	0.2281	0	0.0266	0	0.1	0	0	0.0232	0
VanR-G 1_AY271782	0	0	0.0599	0	0	0	0	0.0252	0.0358	0	0	0.1212	0	0	0	0	0	0	0	0.0285	0.0274	0	0	0.0536	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.0898	0	0	0	0	0.0431	0	0	0	0.0955	0	0	0	0	0	0.0544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0573	0	0.0709	0	0	0	0.0833	0	0	0.063	0	0.0186	0.052	0	0.0243	0	0	0	0	0	0
VanS-B 1_AF192329	0.0522	0	0.0798	0.0194	0.0441	0	0.0261	0.0671	0.0954	0.0377	0	0.1076	0.0291	0.0827	0.0253	0.1	0	0	0.0501	0.0633	0.0487	0.022	0.0658	0.119	0.0437	0	0.0231	0.0752	0.062	0.1295	0.098	0.0483	0.0782	0.1355	0.0508	0.057	0	0.0266	0.0825	0.0199	0.1299	0.0193	0.192	0.0853	0	0.0348	0.0371	0.0787	0	0.0559	0.026	0	0.1224	0	0	0.0683	0	0	0.0583	0.0843	0.0485	0.0444	0.0912	0.0762	0.0285	0.0156	0.0438	0	0	0.0303	0	0	0.1689	0.0764	0.3579	0.063	0.0125	0.1106	0.0927	0	0	0.0446	0.0559	0	0.0497	0.2539	0.0172	0.0431	0.0331	0	0.0468	0.0281	0.0188	0.0249
VanS-G 1_AY271782	0	0	0	0	0	0	0	0	0.0201	0.0475	0.1675	0	0.0122	0	0.016	0	0.155	0.0663	0.0158	0.0399	0	0.0277	0	0	0.0367	0	0	0	0.0391	0	0.0309	0.0304	0	0	0.0641	0	0	0	0	0	0	0	0	0.0807	0	0	0.0468	0	0	0.0352	0	0	0.0514	0	0	0.0123	0	0	0.0368	0.0355	0.0612	0.084	0.0575	0	0	0.0491	0.0552	0	0.0553	0.0096	0	0	0.1065	0	0.0167	0	0.0158	0	0	0	0	0.0161	0.0706	0	0.0313	0	0.0217	0.0136	0	0	0	0	0	0
VanT-C 2_EU151752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0
VanT-G 1_AY271782	0.3082	0.3349	0.2198	0.0801	0.7551	0.5085	0.0769	0.3497	0.2909	0.4555	0.5485	0.1587	0.3036	0.0975	0.1867	0.3541	0.2175	0.31	0.3994	0.198	0.1869	0.3373	0.3625	0.5197	0.3781	0.2532	0.2178	0.3217	0.0549	0.7385	0.2602	0.299	0.2615	0.1999	0.4499	0.6894	0.5461	0.3616	0.5194	0.2941	0.3371	0.3079	0.5853	0.4657	0.1921	0.3287	0.4017	0.2323	0.7753	0.1319	0.3532	0.2817	0.3128	0.4085	0.3706	0.4377	0.3335	0.1781	0.3442	0.282	0.315	0.3538	0.4708	0.2399	0.1679	0.8874	0.2324	0.3749	0.3624	0.411	0	0.2101	0.3487	0.1502	0.305	0.1487	0.4274	0.435	0.3281	0.1528	0.4052	0.3044	0.1155	0.266	0.376	0.1089	0.4361	0.2162	0.2934	0.3104	0.4073	0.2319	0.2771	0.8065
VanU-G 1_AY271782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VanW-B 1_AF192329	0.0317	0	0.0485	0	0.0402	0	0.0475	0.0204	0.1738	0	0	0	0.0531	0	0.0461	0.0607	0	0	0	0.0115	0.0666	0.0401	0.04	0.0867	0.0265	0	0.042	0	0.0565	0.0262	0	0.022	0	0	0.0463	0	0.0887	0	0	0.0363	0	0.0352	0.2332	0.0389	0.0349	0.1269	0.0226	0	0	0.0509	0	0.0544	0	0	0.044	0.0178	0	0	0	0.0512	0	0.0809	0.0415	0.0463	0	0	0	0	0	0.0138	0	0	0.0513	0	0.1207	0	0.0227	0.0336	0	0	0.1088	0.0348	0.051	0	0.0754	0.042	0.0313	0.0196	0.0604	0	0.0213	0	0.0513	0
VanW-G 1_AY271782	0.0925	0.1587	0.1885	0.1031	0.3126	0.1131	0.1847	0.1585	0.2535	0.1667	0.3528	0.1906	0.2063	0.2196	0	0.1771	0.2176	0.2791	0.0888	0.0897	0.0647	0.2336	0.1555	0.3795	0.1806	0.1689	0.2043	0.2331	0.1099	0.1784	0.1736	0.0855	0.2771	0.12	0.4501	0.1514	0.1294	0.2359	0.3898	0.1412	0.138	0.1369	0.2267	0.1133	0.0678	0.2467	0.0658	0	0.3003	0.0989	0.0461	0.1057	0	0.4598	0.2139	0.1383	0.143	0.1458	0.0517	0.0996	0.086	0.118	0.3634	0.315	0	0.3174	0.4263	0.2904	0.272	0.2146	0	0.1261	0.2492	0.0901	0.1878	0.1115	0.2875	0.1306	0.1641	0	0.0529	0.1917	0.0991	0.1842	0.0733	0.0817	0.0913	0.1718	0.2935	0	0.2486	0.0995	0.1663	0.1981
VanX-B 1_AF192329	0	0	0	0.0543	0	0.0893	0	0.0313	0.2224	0.0527	0.1857	0	0.0543	0.1156	0.0708	0	0	0.0735	0.0701	0.0531	0.0341	0	0	0.0666	0.0407	0	0	0.0526	0	0.0805	0.0685	0	0.0729	0	0.0711	0	0	0.1491	0	0	0	0.1622	0.2685	0.0597	0.0536	0.0974	0	0	0.1186	0.0781	0.0728	0.0835	0	0	0.0676	0	0.1506	0.1535	0	0.1573	0	0	0.1275	0.2132	0	0.0218	0.1224	0	0	0.0212	0	0	0	0	0.1112	0	0.0349	0.1547	0.0864	0.1035	0	0.0356	0.0782	0	0.0232	0.3874	0	0.0603	0.3709	0.1132	0.0327	0	0.0263	0.0348
VanX-D 4_AY489045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0646	0	0	0	0	0	0	0	0
VanXY-G 1_AY271782	0.1058	0.1815	0.2694	0.0393	0.2681	0.1939	0	0.1359	0.0644	0.1144	0.0672	0	0.3538	0.0837	0.0769	0.135	0	0.5319	0.203	0.1795	0.2468	0.089	0.2222	0.3374	0.2654	0.2414	0.5139	0.2665	0.3141	0.3205	0.1488	0.171	0.264	0	0.4632	0.2885	0.3452	0.1618	0.3342	0.0404	0.3681	0.0783	0.2592	0.1728	0.2327	0.2821	0.2507	0	0.6008	0.1131	0	0.1209	0.1652	0.5257	0.0978	0.336	0.109	0.2222	0.0591	0.1139	0.0983	0.0899	0.2308	0.1543	0.0576	0.6785	0.2659	0.3736	0.5331	0.0767	0	0	0.3989	0.2061	0.0537	0.3826	0.0759	0.4105	0.1251	0.2997	0.1814	0.1548	0.1699	0.0702	0.2346	0.2804	0.0348	0.0873	0.1342	0.4917	0.2132	0.1706	0.2282	0.2768
VanY-B 1_AF192329	0.0328	0	0	0	0.0416	0	0	0	0	0	0	0	0.0366	0	0	0	0	0	0.0236	0.1194	0.1148	0	0.0827	0	0.0549	0	0	0	0.0585	0	0.0462	0.0227	0.0491	0.2554	0	0.0537	0	0.1004	0	0.0752	0	0.0364	0.0603	0.1206	0.1444	0	0	0	0.0799	0.0527	0.0491	0	0	0	0.0455	0.0184	0	0	0	0	0.0915	0.0837	0	0.1437	0	0	0.1237	0.0386	0.0413	0.0285	0	0	0	0	0.3748	0.2374	0.0706	0.1737	0.0291	0	0	0.012	0.0527	0	0.0624	0.087	0.0324	0.0406	0	0.0763	0	0	0.0177	0
VanY-G 1_DQ212986	0	0	0	0	0	0	0	0	0.0284	0.0337	0	0	0	0	0.0226	0	0	0	0	0	0	0	0	0	0.026	0.0426	0	0	0	0	0	0.1078	0	0	0	0.0509	0	0.0476	0	0	0	0	0.0572	0	0.0342	0.0623	0.0664	0	0	0	0	0.0534	0	0	0.0432	0	0	0	0.0521	0	0	0	0.0408	0.0454	0	0	0	0	0	0.0135	0	0	0	0.0455	0	0	0	0	0	0	0	0.0228	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-IIa 1_X51534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0461	0	0	0	0	0	0	0.0331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-IId 1_EU022314	0	0	0	0	0	0	0.0451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0486	0	0
aac(3)-IIe 1_EU022315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0216	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-IVa 1_X01385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-Ib-aac(6 )-Ib_1_AF355189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-Ib 1_L06157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1279	0	0	0	0	0.0286	0	0	0	0	0	0	0	0	0
aac(6 )-IIa_1_M29695	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0859	0	0	0	0	0	0	0.0617	0	0	0	0	0	0	0	0	0	0.0779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6 )-Ib_1_M21682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6 )-Im_1_AF337947	0	0	0.0903	0	0	0.1084	0	0	0	0	0	0.1826	0	0	0	0	0	0.1784	0.1277	0.043	0	0	0.149	0.2425	0	0.1619	0	0	0	0	0	0	0	0	0	0	0.0827	0.0904	0	0	0.1763	0.0656	0	0	0	0.1182	0	0	0.1439	0	0	0.2026	0	0.1469	0.082	0	0	0.0931	0	0	0.3295	0.0754	0	0	0	0.0265	0	0	0	0	0	0	0	0	0	0	0	0.0626	0	0.2512	0	0.0216	0	0	0.0281	0	0.0583	0	0.1125	0.2748	0	0	0.0319	0
aac(6 )-aph(2__)_1_M13771	0	0.0276	0	0	0	0.0295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0112	0	0	0	0.0134	0	0	0	0	0	0	0	0	0	0	0	0	0.0737	0	0	0	0.0178	0	0	0	0	0	0	0	0.0258	0	0	0	0	0	0	0	0	0	0	0	0.0205	0.0421	0	0	0	0	0	0.0607	0	0	0	0	0.0235	0	0	0	0	0	0	0	0.0059	0	0.032	0	0	0	0	0	0	0	0.0259	0	0
aac(6 )Ib-cr_1_DQ303918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6 )Ib-cr_2_EF636461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aacA4 1_KM278199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadA10 1_U37105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0.0218	0	0	0	0.0514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0389	0	0	0	0	0	0
aadA11 1_AY144590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134	0	0	0	0.0451	0	0.0558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadA12 1_AY665771	0	0	0	0	0	0	0	0	0	0	0	0	0.0188	0	0	0	0	0	0	0	0	0	0.0424	0	0	0	0	0	0	0	0.0947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146	0	0	0	0.0492	0	0	0	0	0	0	0.0577	0	0	0	0.016	0	0	0	0	0	0	0	0.0182	0
aadA13 1_AY713504	0	0.0571	0.0509	0.0371	0	0	0	0.0214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0593	0.0826	0	0	0.0998	0	0	0	0	0	0	0	0	0	0	0	0	0.0666	0.0237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447	0.0419	0	0.042	0	0	0	0	0	0	0	0.0239	0	0	0	0	0	0	0	0.0158	0	0.0329	0	0	0	0.0224	0	0	0.0238
aadA15 1_DQ393783	0	0	0.0514	0	0	0	0	0.0216	0	0	0	0	0	0	0	0	0	0	0	0.0122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0532	0	0	0.0374	0	0	0	0	0	0.1521	0	0	0	0	0	0	0	0.0189	0	0	0	0	0	0	0	0	0	0	0.0423	0	0	0	0	0	0.0544	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0
aadA16 1_EU675686	0.0308	0	0	0	0	0	0	0	0	0.0333	0	0	0.0172	0	0.0448	0	0	0	0	0.0112	0	0	0	0	0	0	0	0.0666	0	0.0255	0	0	0	0	0	0	0	0	0	0.0353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346	0	0	0	0	0	0	0	0	0.0504	0.0276	0	0	0	0	0	0	0	0.0451	0	0	0	0	0	0	0	0.0226	0	0	0	0	0	0	0	0	0	0	0	0
aadA17 1_FJ460181	0	0	0	0	0	0	0	0	0	0	0	0	0.0188	0	0	0	0	0.0508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0543	0	0	0	0	0	0	0	0.0396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0446	0	0.0208	0	0	0.0226	0	0	0
aadA1 1_X02340	0.0258	0.0443	0	0	0.0327	0	0	0	0	0	0	0	0.0719	0	0.0188	0	0	0.1168	0.0557	0.0469	0.0542	0	0.0325	0.0706	0.0863	0	0	0.0279	0	0.1706	0	0.0358	0	0	0.0377	0	0.0361	0.0395	0	0	0	0.0286	0.0474	0.0316	0.0851	0	0.0183	0.1167	0.0628	0	0	0	0.1209	0	0.0716	0.0434	0	0.0407	0.0432	0	0	0.0658	0.0338	0.0377	0.0422	0.0462	0	0	0.0325	0.0561	0	0	0.0834	0.0377	0	0	0.111	0.0273	0.0458	0	0	0.0283	0	0	0.0491	0.0342	0.0509	0.0319	0.0491	0.1199	0.052	0.0416	0.0139	0
